start,end
2016-06-04 08:08:46+0000,2016-06-09 06:02:42+0000
2016-06-09 19:08:42+0000,2016-06-14 17:02:39+0000
2016-06-29 08:33:29+0000,2016-07-04 06:27:25+0000
2016-07-06 15:57:04+0000,2016-07-09 09:27:02+0000
2016-07-09 11:16:12+0000,2016-07-11 20:34:55+0000
2016-07-31 02:43:02+0000,2016-08-02 00:12:11+0000
2016-08-02 08:23:26+0000,2016-08-05 15:21:13+0000
2016-08-09 13:14:11+0000,2016-08-13 04:23:13+0000
2016-08-19 08:07:29+0000,2016-08-24 06:01:26+0000
2016-09-18 16:37:29+0000,2016-09-21 14:40:22+0000
2016-09-26 10:12:23+0000,2016-09-29 15:21:01+0000
2016-10-07 14:45:16+0000,2016-10-12 12:39:12+0000
2016-10-25 17:35:54+0000,2016-10-30 15:29:50+0000
2016-11-13 09:10:41+0000,2016-11-18 07:04:38+0000
2016-11-18 10:10:12+0000,2016-11-23 08:04:09+0000
2016-11-27 23:25:06+0000,2016-11-30 19:27:54+0000
2016-12-01 00:00:49+0000,2016-12-05 02:04:51+0000
2016-12-11 06:43:42+0000,2016-12-15 07:53:09+0000
2016-12-16 14:59:53+0000,2016-12-21 12:53:50+0000
2016-12-22 18:22:19+0000,2016-12-26 09:31:22+0000
2016-12-26 17:42:37+0000,2016-12-29 09:23:25+0000
2016-12-29 16:40:05+0000,2017-01-01 21:48:42+0000
2017-01-03 04:00:51+0000,2017-01-06 18:15:19+0000
2017-01-10 05:24:12+0000,2017-01-15 03:18:08+0000
2017-01-16 06:02:53+0000,2017-01-21 03:56:49+0000
2017-01-22 16:41:58+0000,2017-01-29 15:54:19+0000
2017-02-19 10:41:26+0000,2017-02-22 04:42:51+0000
2017-02-22 18:51:43+0000,2017-02-25 09:44:29+0000
2017-02-25 15:31:09+0000,2017-02-28 19:00:44+0000
2017-03-19 06:47:07+0000,2017-03-24 06:15:23+0000
2017-03-26 16:25:12+0000,2017-03-28 14:00:27+0000
2017-03-28 17:09:06+0000,2017-03-31 02:28:28+0000
2017-03-31 10:48:49+0000,2017-04-03 22:31:30+0000
2017-04-04 05:47:06+0000,2017-04-06 08:06:44+0000
2017-04-06 14:39:44+0000,2017-04-12 10:34:09+0000
2017-04-24 08:24:32+0000,2017-04-29 13:54:21+0000
2017-05-04 08:08:13+0000,2017-05-11 07:33:13+0000
2017-05-12 10:00:56+0000,2017-05-18 06:11:04+0000
2017-05-18 12:44:04+0000,2017-05-23 10:22:17+0000
2017-05-23 22:25:24+0000,2017-05-30 04:48:36+0000
2017-05-30 20:47:31+0000,2017-06-03 19:06:41+0000
2017-06-04 07:09:47+0000,2017-06-06 03:26:27+0000
2017-06-06 09:59:27+0000,2017-06-13 00:14:15+0000
2017-06-18 01:01:07+0000,2017-06-23 15:56:51+0000
2017-06-24 00:04:10+0000,2017-06-29 16:02:47+0000
2017-06-29 23:54:23+0000,2017-07-05 22:26:00+0000
2017-07-06 07:51:54+0000,2017-07-10 10:06:52+0000
2017-07-10 15:21:16+0000,2017-07-12 10:35:02+0000
2017-07-12 15:49:26+0000,2017-07-13 19:20:01+0000
2017-07-22 03:45:44+0000,2017-07-26 20:09:33+0000
2017-08-01 13:58:13+0000,2017-08-04 23:11:22+0000
2017-08-05 05:44:22+0000,2017-08-09 09:02:12+0000
2017-08-22 06:27:23+0000,2017-08-26 17:52:32+0000
2017-09-02 08:23:03+0000,2017-09-05 09:44:37+0000
2017-09-05 12:51:14+0000,2017-09-06 19:56:09+0000
2017-09-07 02:07:19+0000,2017-09-10 15:03:11+0000
2017-10-22 11:48:55+0000,2017-10-28 09:17:39+0000
2017-10-28 21:31:14+0000,2017-11-05 22:44:39+0000
2017-11-15 06:32:02+0000,2017-11-18 15:19:00+0000
2017-11-18 20:46:30+0000,2017-11-22 15:22:57+0000
2017-12-03 19:03:26+0000,2017-12-09 16:32:10+0000
2017-12-12 02:36:44+0000,2017-12-15 03:45:12+0000
2017-12-15 09:45:27+0000,2017-12-16 10:19:11+0000
2017-12-16 13:02:56+0000,2017-12-17 18:09:35+0000
2017-12-22 09:08:42+0000,2017-12-27 01:02:24+0000
2018-07-16 11:27:29+0000,2018-07-17 12:10:11+0000
2018-07-17 13:54:16+0000,2018-07-19 06:31:34+0000
2018-07-22 03:57:49+0000,2018-07-22 23:48:32+0000
2018-07-23 01:55:29+0000,2018-07-24 18:07:23+0000
2018-07-25 21:24:56+0000,2018-07-27 15:31:05+0000
2018-08-02 17:04:44+0000,2018-08-03 04:42:55+0000
2018-08-03 06:11:46+0000,2018-08-03 17:37:16+0000
2018-08-04 04:11:58+0000,2018-08-06 00:25:04+0000
2018-08-07 14:30:02+0000,2018-08-08 04:53:14+0000
2018-08-08 10:51:13+0000,2018-08-10 02:47:53+0000
2018-08-11 02:31:51+0000,2018-08-11 17:27:33+0000
2018-08-11 21:04:23+0000,2018-08-12 16:19:12+0000
2018-08-12 18:06:45+0000,2018-08-13 13:09:14+0000
2018-08-13 17:44:17+0000,2018-08-14 13:43:11+0000
2018-08-14 14:53:42+0000,2018-08-16 00:30:40+0000
2018-08-17 20:11:24+0000,2018-08-18 19:12:32+0000
2018-08-18 20:28:42+0000,2018-08-19 20:20:37+0000
2018-09-10 16:12:03+0000,2018-09-12 01:06:16+0000
2018-09-12 06:47:29+0000,2018-09-13 04:54:10+0000
2018-09-13 07:06:49+0000,2018-09-14 14:17:26+0000
2018-09-18 04:53:56+0000,2018-09-19 20:22:59+0000
2018-09-25 07:30:35+0000,2018-09-26 22:59:37+0000
2018-09-27 00:16:24+0000,2018-09-28 05:49:32+0000
2018-09-28 07:20:56+0000,2018-09-29 21:03:57+0000
2018-10-01 18:49:34+0000,2018-10-02 18:17:06+0000
2018-10-02 19:11:57+0000,2018-10-05 07:31:20+0000
2018-10-11 12:33:45+0000,2018-10-13 04:02:48+0000
2018-10-27 04:08:59+0000,2018-10-29 06:25:08+0000
2018-10-29 09:27:56+0000,2018-10-30 08:37:11+0000
2018-10-30 09:50:18+0000,2018-10-31 04:43:39+0000
2018-11-02 17:21:18+0000,2018-11-05 02:15:57+0000
2018-11-05 22:07:47+0000,2018-11-08 14:02:52+0000
2018-11-09 13:56:00+0000,2018-11-11 23:08:56+0000
2018-11-13 02:01:12+0000,2018-11-16 06:44:02+0000
2018-11-23 13:49:59+0000,2018-11-26 15:37:16+0000
2018-11-26 20:02:36+0000,2018-11-29 20:34:04+0000
2018-12-01 08:11:54+0000,2018-12-04 18:04:21+0000
2018-12-15 15:14:12+0000,2018-12-19 01:06:40+0000
2018-12-20 15:54:01+0000,2018-12-25 05:03:58+0000
2018-12-27 10:15:33+0000,2018-12-30 20:08:01+0000
2018-12-31 05:13:50+0000,2019-01-03 15:06:18+0000
2019-01-04 04:37:28+0000,2019-01-07 14:29:55+0000
2019-01-08 12:13:51+0000,2019-01-11 22:06:19+0000
2019-01-23 10:25:52+0000,2019-01-28 19:10:52+0000
2019-02-04 08:56:56+0000,2019-02-05 14:46:53+0000
2019-02-05 16:32:10+0000,2019-02-06 21:29:29+0000
2019-02-07 00:33:44+0000,2019-02-08 07:42:39+0000
2019-02-08 12:32:12+0000,2019-02-10 06:07:36+0000
2019-02-24 02:24:28+0000,2019-02-26 11:15:54+0000
2019-03-11 16:06:13+0000,2019-03-12 20:51:26+0000
2019-03-14 14:05:46+0000,2019-03-15 13:47:12+0000
2019-03-15 17:03:33+0000,2019-03-18 13:24:38+0000
2019-03-21 15:05:18+0000,2019-03-23 23:56:44+0000
2019-03-31 01:54:11+0000,2019-04-02 10:45:36+0000
2019-04-07 17:17:06+0000,2019-04-10 02:08:32+0000
2019-04-12 05:38:49+0000,2019-04-14 14:30:15+0000
2019-04-14 18:11:22+0000,2019-04-18 17:44:28+0000
2019-04-20 00:58:39+0000,2019-04-22 09:50:05+0000
2019-04-22 15:16:29+0000,2019-04-25 00:07:55+0000
2019-04-26 07:22:06+0000,2019-04-29 20:55:02+0000
2019-05-05 02:28:37+0000,2019-05-07 11:20:03+0000
2019-05-07 19:56:39+0000,2019-05-09 21:43:26+0000
2019-05-10 17:22:25+0000,2019-05-13 09:33:47+0000
2019-05-23 04:54:17+0000,2019-05-25 13:45:43+0000
2019-05-28 08:05:43+0000,2019-05-29 19:11:33+0000
2019-05-29 21:23:09+0000,2019-05-31 15:51:12+0000
2019-06-10 07:40:09+0000,2019-06-12 16:31:35+0000
2019-07-05 21:52:02+0000,2019-07-08 06:43:28+0000
2019-07-16 22:51:00+0000,2019-07-19 07:42:26+0000
2019-07-22 13:58:25+0000,2019-07-24 22:49:51+0000
2019-07-30 22:54:15+0000,2019-08-02 07:45:40+0000
2019-08-07 02:52:46+0000,2019-08-09 11:44:12+0000
2019-08-21 01:37:03+0000,2019-08-23 10:28:29+0000
2019-08-28 03:50:17+0000,2019-08-30 12:41:43+0000
2019-09-11 06:57:47+0000,2019-09-13 15:49:13+0000
